aid,firstname,lastname,gender,birthdate,deathdate,birthplace,deathplace,nationality,eid,title,venue,startdate,type,paintings,country,city,latitude,longitude,age_at_exhibition,status_at_exhibition
2,Peter,Alma,Male,1886,1969,Medan,Amsterdam,Netherlands,716,"Tentoonstelling Alma, Le Fauconnier en Mondrian",Rotterdamsche Kunstkring,1915,group,6,NL,Rotterdam,51.916667,4.5,29,Alive
2,Peter,Alma,Male,1886,1969,Medan,Amsterdam,Netherlands,490,"Moderne Kunst Kring (Cercle de l'art moderne). Ouvrages de Peinture, Sculpture, Dessin, Gravure",Moderne Kunst Kring,1912,group,13,NL,Amsterdam,52.35,4.916667,26,Alive
2,Peter,Alma,Male,1886,1969,Medan,Amsterdam,Netherlands,609,Moderne Kunst Kring (Cercle de l'Art Moderne),Moderne Kunst Kring,1913,group,12,NL,Amsterdam,52.35,4.916667,27,Alive
2,Peter,Alma,Male,1886,1969,Medan,Amsterdam,Netherlands,462,Internationale Kunstausstellung des Sonderbundes Westdeutscher Kunstfreunde und Künstler zu Cöln,Städtische Ausstellungshalle am Aachener Tor,1912,group,1,DE,Cologne,50.933333,6.95,26,Alive
2,Peter,Alma,Male,1886,1969,Medan,Amsterdam,Netherlands,462,Internationale Kunstausstellung des Sonderbundes Westdeutscher Kunstfreunde und Künstler zu Cöln,Sonderbund Westdeutscher Kunstfreunde und Künstler,1912,group,1,DE,Cologne,50.933333,6.95,26,Alive
2,Peter,Alma,Male,1886,1969,Medan,Amsterdam,Netherlands,490,"Moderne Kunst Kring (Cercle de l'art moderne). Ouvrages de Peinture, Sculpture, Dessin, Gravure",Stedelijk Museum,1912,group,13,NL,Amsterdam,52.35,4.916667,26,Alive
2,Peter,Alma,Male,1886,1969,Medan,Amsterdam,Netherlands,609,Moderne Kunst Kring (Cercle de l'Art Moderne),Stedelijk Museum,1913,group,12,NL,Amsterdam,52.35,4.916667,27,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,1482,Мир Искусства. Выставка картин,Dom Obshestva Pooshrfenija hudozhestv,1913,group,4,RU,Saint Petersburg,59.8833,30.25,24,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,1302,"Выставка Картин ""Мир Искусства""",Moscow (exact location unknown),1915,group,9,RU,Moscow,55.75,37.7,26,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,1481,Выставка Графических Искусств,Художественное Бюро Н. Е. Добычиной,1913,group,9,RU,Saint Petersburg,59.8833,30.25,24,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,536,Мир искусства,Kiev (exact location unknown),1913,group,2,UA,Kiev,50.4333,30.5167,24,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,615,Мир Искусства,Большая Дмитровка 11,1913,group,6,RU,Moscow,55.75,37.7,24,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,523,Мир Искусства,Дом Шведской Церкви,1913,group,2,RU,Saint Petersburg,59.8833,30.25,24,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,586,Juryfreie Kunstschau. 4. Ausstellung,Ausstellungshaus am Kurfürstendamm 208/9,1913,group,3,DE,Berlin,52.516667,13.4,24,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,722,Выставка Живописи,Художественный салон 11,1915,group,4,RU,Moscow,55.75,37.7,26,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,586,Juryfreie Kunstschau. 4. Ausstellung,Verein Berliner Künstler (VBK),1913,group,3,DE,Berlin,52.516667,13.4,24,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,732,"Последняя футуристическая выставка картин 0,10 (Ноль-десять)",Художественное Бюро Добычиной,1916,group,1,RU,Saint Petersburg,59.8833,30.25,27,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,712,Выставка картин в пользу лазарета деятелей искусства,Художественное Бюро Добычиной,1914,group,13,RU,Saint Petersburg,59.8833,30.25,25,Alive
3,Natan,Alt'man,Male,1889,1970,Vinnitsa,Saint Petersburg,Russia,602,Постоянная Выставка Современнаго Искусства,Художественное Бюро Добычиной,1913,group,4,RU,Saint Petersburg,59.8833,30.25,24,Alive
6,Kazimir,Malevich,Male,1878,1935,Kiev,Saint Petersburg,Russia,80,XIV Выставка Картин Московского Товарищества Художников,Moscow (exact location unknown),1907,group,12,RU,Moscow,55.75,37.7,29,Alive
6,Kazimir,Malevich,Male,1878,1935,Kiev,Saint Petersburg,Russia,192,XVI Выставка Картин Московского Товарищества Художников,Moscow (exact location unknown),1908,group,3,RU,Moscow,55.75,37.7,30,Alive
6,Kazimir,Malevich,Male,1878,1935,Kiev,Saint Petersburg,Russia,140,XV Выставка Картин Московскаго Товарищества Художников,Moscow (exact location unknown),1908,group,2,RU,Moscow,55.75,37.7,30,Alive
6,Kazimir,Malevich,Male,1878,1935,Kiev,Saint Petersburg,Russia,80,XIV Выставка Картин Московского Товарищества Художников,Московское Товарищество Художников,1907,group,12,RU,Moscow,55.75,37.7,29,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,663,Esposizione Libera Futurista Internazionale / Pittori e Scultori / Italiani - Russi - Inglesi - Belgi - Nordamericani,Galleria Futurista - Sprovieri,1914,group,5,IT,Rome,41.9,12.483333,27,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,534,International Exhibition of Modern Art [Armory Show],Armory of the 69th Infantry,1913,group,5,US,New York,40.7,-74,26,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,588,Der Sturm. Siebzehnte Ausstellung. Alexandre Archipenko,Der Sturm [venues],1913,solo,36,DE,Berlin,52.516667,13.4,26,Alive
8,Alexander,Archipenko,Male,1887,1964,Kiev,New York,United States,798,Der Sturm. Neunzehnte Ausstellung. Expressionisten / Kubisten / Futuristen,Der Sturm [venues],1913,group,2,DE,Berlin,52.516667,13.4,26,Alive
